originregion_id,originregion_name,destinationregion_id,destinationregion_name,regionflow_1990,regionflow_1995,regionflow_2000,regionflow_2005,xxx,origin_iso,origin_name,destination_iso,destination_name,countryflow_1990,countryflow_1995,countryflow_2000,countryflow_2005,origin_show,destination_show
1,Africa,1,Africa,691,0,0,0,,Carthage,Carthage,Carthage,Carthage,4,0,0,0,1,1
1,Africa,1,Africa,691,0,0,0,,Cyrene,Cyrene,Carthage,Carthage,3,0,0,0,1,1
1,Africa,1,Africa,691,0,0,0,,Cyrenaica,Cyrenaica,Cyrene,Cyrene,24,0,0,0,1,1
1,Africa,1,Africa,691,0,0,0,,Cyrene,Cyrene,Cyrene,Cyrene,617,0,0,0,1,1
1,Africa,1,Africa,691,0,0,0,,Euesperides,Euesperides,Cyrene,Cyrene,8,0,0,0,0,1
1,Africa,1,Africa,691,0,0,0,,Carthage,Carthage,Sabratha,Sabratha,11,0,0,0,1,1
1,Africa,1,Africa,691,0,0,0,,Cyrene,Cyrene,Sabratha,Sabratha,1,0,0,0,1,1
1,Africa,1,Africa,691,0,0,0,,LepcisMagnus,Lepcis Magnus,Sabratha,Sabratha,1,0,0,0,0,1
1,Africa,1,Africa,691,0,0,0,,Numidia,Numidia,Sabratha,Sabratha,17,0,0,0,0,1
1,Africa,1,Africa,691,0,0,0,,Sabratha,Sabratha,Sabratha,Sabratha,4,0,0,0,1,1
1,Africa,1,Africa,691,0,0,0,,Zitha(Tripolitania),Zitha (Tripolitania),Sabratha,Sabratha,1,0,0,0,0,1
10,Eastern Europe,1,Africa,4,0,0,0,,Siscia,Siscia,Carthage,Carthage,2,0,0,0,1,1
10,Eastern Europe,1,Africa,4,0,0,0,,Siscia,Siscia,Cyrene,Cyrene,1,0,0,0,1,1
10,Eastern Europe,1,Africa,4,0,0,0,,Siscia,Siscia,Sabratha,Sabratha,1,0,0,0,1,1
11,Egypt,1,Africa,11,0,0,0,,Alexandria,Alexandria,Carthage,Carthage,1,0,0,0,1,1
11,Egypt,1,Africa,11,0,0,0,,Alexandria,Alexandria,Cyrene,Cyrene,3,0,0,0,1,1
11,Egypt,1,Africa,11,0,0,0,,uncertain,uncertain,Cyrene,Cyrene,5,0,0,0,1,1
11,Egypt,1,Africa,11,0,0,0,,Alexandria,Alexandria,Sabratha,Sabratha,2,0,0,0,1,1
12,France,1,Africa,8,0,0,0,,Arles,Arles,Carthage,Carthage,1,0,0,0,1,1
12,France,1,Africa,8,0,0,0,,uncertain,uncertain,Carthage,Carthage,5,0,0,0,1,1
12,France,1,Africa,8,0,0,0,,Arles,Arles,Sabratha,Sabratha,1,0,0,0,1,1
12,France,1,Africa,8,0,0,0,,Lyon,Lyon,Sabratha,Sabratha,1,0,0,0,1,1
14,Greece/Macedonia,1,Africa,7,0,0,0,,Thessalonica,Thessalonica,Carthage,Carthage,1,0,0,0,1,1
14,Greece/Macedonia,1,Africa,7,0,0,0,,Antigoneia,Antigoneia,Cyrene,Cyrene,1,0,0,0,0,1
14,Greece/Macedonia,1,Africa,7,0,0,0,,Corcyra,Corcyra,Cyrene,Cyrene,3,0,0,0,0,1
14,Greece/Macedonia,1,Africa,7,0,0,0,,Thessalonica,Thessalonica,Cyrene,Cyrene,1,0,0,0,1,1
14,Greece/Macedonia,1,Africa,7,0,0,0,,Leukas,Leukas,Sabratha,Sabratha,1,0,0,0,0,1
15,Italy/Sicily,1,Africa,168,0,0,0,,Aquileia,Aquileia,Carthage,Carthage,1,0,0,0,1,1
15,Italy/Sicily,1,Africa,168,0,0,0,,Rome,Rome,Carthage,Carthage,23,0,0,0,1,1
15,Italy/Sicily,1,Africa,168,0,0,0,,uncertain,uncertain,Carthage,Carthage,1,0,0,0,1,1
15,Italy/Sicily,1,Africa,168,0,0,0,,Rome,Rome,Cyrene,Cyrene,16,0,0,0,1,1
15,Italy/Sicily,1,Africa,168,0,0,0,,Aquileia,Aquileia,Sabratha,Sabratha,2,0,0,0,1,1
15,Italy/Sicily,1,Africa,168,0,0,0,,Brettii,Brettii,Sabratha,Sabratha,1,0,0,0,0,1
15,Italy/Sicily,1,Africa,168,0,0,0,,Rome,Rome,Sabratha,Sabratha,7,0,0,0,1,1
15,Italy/Sicily,1,Africa,168,0,0,0,,Rome?,Rome?,Sabratha,Sabratha,24,0,0,0,1,1
15,Italy/Sicily,1,Africa,168,0,0,0,,uncertain,uncertain,Sabratha,Sabratha,93,0,0,0,1,1
18,Palestine,1,Africa,1,0,0,0,,uncertain,uncertain,Cyrene,Cyrene,1,0,0,0,1,1
21,Syria,1,Africa,2,0,0,0,,Antioch,Antioch,Cyrene,Cyrene,1,0,0,0,1,1
