originregion_id,originregion_name,destinationregion_id,destinationregion_name,regionflow_1990,regionflow_1990,regionflow_2000,regionflow_2005,regionflow_2010,xxx,origin_iso,origin_name,destination_iso,destination_name,countryflow_1990,countryflow_1995,countryflow_2000,countryflow_2005,countryflow_2010,origin_show,destination_show
1,Africa,1,Africa,194,395,24,0,0,,Carthage,Carthage,Carthage,Carthage,3,0,1,0,0,1,1
1,Africa,1,Africa,194,395,24,0,0,,Cyrene,Cyrene,Carthage,Carthage,0,3,0,0,0,1,1
1,Africa,1,Africa,194,395,24,0,0,,Cyrenaica,Cyrenaica,Cyrene,Cyrene,0,0,19,0,0,0,1
1,Africa,1,Africa,194,395,24,0,0,,Cyrene,Cyrene,Cyrene,Cyrene,172,392,0,0,0,1,1
1,Africa,1,Africa,194,395,24,0,0,,Euesperides,Euesperides,Cyrene,Cyrene,8,0,0,0,0,0,1
1,Africa,1,Africa,194,395,24,0,0,,Carthage,Carthage,Sabratha,Sabratha,10,0,0,0,0,1,1
1,Africa,1,Africa,194,395,24,0,0,,Cyrene,Cyrene,Sabratha,Sabratha,1,0,0,0,0,1,1
1,Africa,1,Africa,194,395,24,0,0,,LepcisMagnus,Lepcis Magnus,Sabratha,Sabratha,0,0,1,0,0,0,1
1,Africa,1,Africa,194,395,24,0,0,,Sabratha,Sabratha,Sabratha,Sabratha,0,0,3,0,0,1,1
10,Eastern Europe,1,Africa,0,0,0,0,4,,Siscia,Siscia,Carthage,Carthage,0,0,0,0,2,1,1
10,Eastern Europe,1,Africa,0,0,0,0,4,,Siscia,Siscia,Cyrene,Cyrene,0,0,0,0,1,1,1
10,Eastern Europe,1,Africa,0,0,0,0,4,,Siscia,Siscia,Sabratha,Sabratha,0,0,0,0,1,1,1
11,Egypt,1,Africa,0,0,7,0,3,,Alexandria,Alexandria,Carthage,Carthage,0,0,1,0,0,1,1
11,Egypt,1,Africa,0,0,7,0,3,,Alexandria,Alexandria,Cyrene,Cyrene,0,0,0,0,2,1,1
11,Egypt,1,Africa,0,0,7,0,3,,uncertain,uncertain,Cyrene,Cyrene,0,0,5,0,0,1,1
11,Egypt,1,Africa,0,0,7,0,3,,Alexandria,Alexandria,Sabratha,Sabratha,0,0,1,0,1,1,1
12,France,1,Africa,0,0,0,5,3,,Arles,Arles,Carthage,Carthage,0,0,0,0,1,1,1
12,France,1,Africa,0,0,0,5,3,,uncertain,uncertain,Carthage,Carthage,0,0,0,5,0,1,1
12,France,1,Africa,0,0,0,5,3,,Arles,Arles,Sabratha,Sabratha,0,0,0,0,1,1,1
12,France,1,Africa,0,0,0,5,3,,Lyon,Lyon,Sabratha,Sabratha,0,0,0,0,1,1,1
14,Greece/Macedonia,1,Africa,4,0,1,0,1,,Thessalonica,Thessalonica,Carthage,Carthage,0,0,0,0,1,1,1
14,Greece/Macedonia,1,Africa,4,0,1,0,1,,Corcyra,Corcyra,Cyrene,Cyrene,3,0,0,0,0,0,1
14,Greece/Macedonia,1,Africa,4,0,1,0,1,,Thessalonica,Thessalonica,Cyrene,Cyrene,0,0,1,0,0,1,1
