period,Find.Territory,Source.Territory,Find.Site,Source.Site,sites.counts
Hellenistic,Africa,Africa,Carthage,Carthage,3
Hellenistic,Africa,Africa,Carthage,Cyrene,3
Hellenistic,Africa,Africa,Cyrene,Cyrene,567
Hellenistic,Africa,Africa,Cyrene,Euesperides,8
Hellenistic,Africa,Africa,Sabratha,Carthage,11
Hellenistic,Africa,Africa,Sabratha,Cyrene,1
Hellenistic,Africa,Africa,Sabratha,Numidia,17
Hellenistic,Africa,Africa,Sabratha,Zitha (Tripolitania),1
Hellenistic,Africa,Anatolia,Cyrene,Rhodes,2
Hellenistic,Africa,Balkans,Cyrene,Antigoneia,1
Hellenistic,Africa,Balkans,Cyrene,Corcyra,3
Hellenistic,Africa,Balkans,Sabratha,Leukas,1
Hellenistic,Africa,Italy/Sicily,Sabratha,Brettii,1
Hellenistic,Africa,Italy/Sicily,Sabratha,uncertain,93
Hellenistic,Anatolia,Anatolia,Andriake (Myra),Alinda (Caria),1
Hellenistic,Anatolia,Anatolia,Andriake (Myra),Aspendos,1
Hellenistic,Anatolia,Anatolia,Andriake (Myra),Kos (Caria),1
Hellenistic,Anatolia,Anatolia,Andriake (Myra),Rhodes,1
Hellenistic,Anatolia,Anatolia,Aphrodisias,Abydus,1
Hellenistic,Anatolia,Anatolia,Aphrodisias,Aphrodisias,58
Hellenistic,Anatolia,Anatolia,Aphrodisias,Colophon,2
Hellenistic,Anatolia,Anatolia,Aphrodisias,Lampascacus,2
Hellenistic,Anatolia,Anatolia,Aphrodisias,Magnesia,1
Hellenistic,Anatolia,Anatolia,Aphrodisias,Sardis (Lydia),10
Hellenistic,Anatolia,Anatolia,Cankirikapi,Cyme (Aeolis),1
Hellenistic,Anatolia,Anatolia,Cankirikapi,Lampsakos (Mysia),1
Hellenistic,Anatolia,Anatolia,Cankirikapi,Sardis,2
Hellenistic,Anatolia,Anatolia,Ephesus,Sardis,2
Hellenistic,Anatolia,Anatolia,Hierapolis,Blaundus,1
Hellenistic,Anatolia,Anatolia,Hierapolis,Chios (Ionia),1
Hellenistic,Anatolia,Anatolia,Hierapolis,Ephesus,1
Hellenistic,Anatolia,Anatolia,Hierapolis,Eumeneia,1
Hellenistic,Anatolia,Anatolia,Hierapolis,Laodiceia,7
Hellenistic,Anatolia,Anatolia,Hierapolis,Peltae,1
Hellenistic,Anatolia,Anatolia,Hierapolis,Pergamum,1
Hellenistic,Anatolia,Anatolia,Pergamon,Abydus (Troas),1
Hellenistic,Anatolia,Anatolia,Pergamon,Aegae,1
Hellenistic,Anatolia,Anatolia,Pergamon,Antandros,1
Hellenistic,Anatolia,Anatolia,Pergamon,Atarneus,1
Hellenistic,Anatolia,Anatolia,Pergamon,Chios,4
